"id","year","venue","felix_rating","zhanh_rating","domain","workstream","title","keywords","paper_url","github_url","github_note","demo_url","web_url","zhanh_note","felix_note","hanyu_note","obsidian_target"
"2026-DAFx-Adapting-Diffusion-Music-Synthesis-Voice-Conversion","2026","DAFx","","3.5/5*","AudioGen","Other","Adapting Diffusion-Based Music Synthesis to Speech and Singing Voice Conversion","T5-Voc；PPG + F0 conditioning；FiLM identity conditioning","https://arxiv.org/abs/2607.13278","","","https://benadar293.github.io/voice-conversion/","https://www.audiolabs-erlangen.de/fau/professor/mueller/publications","DAFx 2026：把器乐 T5 diffusion 的 score/timbre conditioning 迁移为 PPG+F0 与 speaker/singer FiLM，歌声 naturalness、performer similarity 和 pitch control 可匹配或超过 FlowMAC；但加入 instrumental data 后 vocal quality、FAD 与 phonetic fidelity 均退化。对我们最重要的是跨域共训并非免费增益，必须单独验证 domain balance、vocal fidelity guardrail 和 time-varying conditioning。","","","articles/2026-DAFx-Adapting-Diffusion-Based-Music-Synthesis-to-Voice-Conversion"
"2023-OUP-Music-Recruits-the-Reward-System","2023","OUP","","3.5/5*","Other","Other","Music Recruits the Reward System","mesolimbic reward；hedonic valuation；musical pleasure","","","","","https://academic.oup.com/book/55154/chapter/424072391","支持区分 structural perception 与 hedonic valuation；不能用来声称 beat alignment 等价于 pleasure。","","","articles/2023-OUP-Music-Recruits-the-Reward-System"
"2026-ICML-SURF-Unsupervised-Remixing-Flow","2026","ICML","","3.5/5*","SourceSep","Other","SURF: Separation via Unsupervised Remixing Flow","SURF；unsupervised remixing；teacher-student flow","https://arxiv.org/abs/2606.04921","","","https://google.github.io/df-conformer/surf/","","用于分析 separator-induced BeatReward noise、构造 remix stress tests；不设为截稿前复现依赖。","","","articles/2026-ICML-SURF-Unsupervised-Remixing-Flow"
"2024-arXiv-Survey-Foundation-Models-Music-Understanding","2024","arXiv","","3.5/5*","AudioLLM","Other","A Survey of Foundation Models for Music Understanding","music foundation model；audio language model；survey taxonomy","https://arxiv.org/abs/2409.09601","","","","","支持 learned semantic judge + explicit MIR expert 分层；模型地图停留在 2024，不代表当前 SOTA。","","","articles/2024-arXiv-Survey-Foundation-Models-Music-Understanding"
"2026-ICASSP-MR-FlowDPO","2026","ICASSP","","4/5*","MusicGen","Reward-n-RL","MR-FlowDPO: Multi-Reward Direct Preference Optimization for Flow-Matching Text-to-Music Generation","MR-FlowDPO；MRSD；strong-dominating pairs","https://arxiv.org/abs/2512.10264","","","https://lonzi.github.io/mr_flowdpo_demopage/","","CLAP、production quality、music-HuBERT semantic consistency 三轴构造 strong-dominating pairs；迁移 pair recipe，不直接套 flow loss。","","","articles/2026-ICASSP-MR-FlowDPO"
"2023-arXiv-SingSong-Generating-Musical-Accompaniments-from-Singing","2023","arXiv","","3/5*","MusicGen","Other","SingSong: Generating Musical Accompaniments from Singing","SingSong；AudioLM adaptation；separation leakage","https://arxiv.org/abs/2301.12662","https://github.com/jihoojung0106/open-singsong","unofficial","https://storage.googleapis.com/sing-song/index.html","","支撑 separated-vocal leakage 和 noise/artifact augmentation；preference receipt 必须记录 separator 与 residual leakage。","","","articles/2023-arXiv-SingSong-Generating-Musical-Accompaniments-from-Singing"
"2026-arXiv-HAFM-Music-Accompaniment-Generation","2026","arXiv","","3/5*","MusicGen","Other","HAFM: Hierarchical Autoregressive Foundation Model for Music Accompaniment Generation","HAFM；dual-rate tokenization；three-stage AR","https://arxiv.org/abs/2604.09054","https://github.com/HackerHyper/HAFM","","","https://huggingface.co/zhuqijian/HAFM","与 Qwen codec-token accompaniment generation 形态接近；dual-rate semantic/acoustic representation 可启发分层 reward。","","","articles/2026-arXiv-HAFM-Music-Accompaniment-Generation"
"2026-arXiv-MaskDiff-AD","2026","arXiv","","3/5*","CV","Reward","Masked Diffusion Modeling for Anomaly Detection","MaskDiff-AD；reconstruction surprisal；nominal-only training","https://arxiv.org/abs/2605.30046","https://github.com/lxzhang1/MaskDiff-AD","","","","可作 reward-hacked output OOD guardrail/diagnostic；原实验不是音频，近期不作主 reward。","","","articles/2026-arXiv-MaskDiff-AD"
"2020-CNBlogs-AR-vs-NAR-Models","2020","Web","","2/5*","Other","Other","自回归（Autoregressive, AR）模型与非自回归（Non-Autoregressive, NAR）模型","autoregressive；non-autoregressive；parallel decoding","","","","","https://www.cnblogs.com/ytxwzqin/p/12813965.html","便于团队沟通生成依赖和速度；概念混合经典时间序列 AR 与 neural autoregression，不作为论文证据。","","","articles/2020-CNBlogs-AR-vs-NAR-Models"
"2024-ICLR-In-Context-Exploration-Exploitation-RL","2024","ICLR","","2/5","MachineLearning","RL","In-Context Exploration-Exploitation for Reinforcement Learning","ICEE；in-context policy learning；exploration-exploitation","https://arxiv.org/abs/2403.06826","","","","https://research.atspotify.com/publications/in-context-exploration-exploitation-for-reinforcement-learning","不是 CV，而是 offline in-context RL / meta-RL：用 return-conditioned causal Transformer 在推理期完成 exploration-exploitation，无需梯度更新或显式 Bayesian inference。与当前 music reward post-training 仅有概念性关联。","","","articles/2024-ICLR-In-Context-Exploration-Exploitation-for-Reinforcement-Learning"
"2023-ICLR-In-Context-RL-Algorithm-Distillation","2023","ICLR","","4/5","MachineLearning","RL","In-Context Reinforcement Learning with Algorithm Distillation","Algorithm Distillation；learning histories；in-context RL","https://arxiv.org/abs/2210.14215","","","","https://iclr.cc/virtual/2023/poster/11148","Algorithm Distillation 把 RL agent 的跨 episode 学习历史蒸馏进 causal Transformer，通过 action prediction 学会无需参数更新的 in-context policy improvement。它是 ICEE 的直接前序，也是理解“动态数据能否被序列模型吸收”的重要概念基线。","","","articles/2023-ICLR-In-Context-Reinforcement-Learning-with-Algorithm-Distillation"
"2024-FAcCT-Careless-Whisper-Hallucination-Harms","2024","FAccT","","","Speech","Reward","Careless Whisper: Speech-to-Text Hallucination Harms","ASR hallucination；non-vocal duration；AphasiaBank","https://arxiv.org/abs/2402.08021","https://github.com/koenecke/hallucination_harms","","","https://doi.org/10.1145/3630106.3658996","13,140 个片段中约 1.4% 出现整句无声学依据的 Whisper 幻觉，约 38% 含潜在伤害；较长 non-vocal duration 与风险相关。对歌词/歌声 reward 的启示是必须单测静音、间奏、弱人声和 separation residual，不能只报总体 WER/PER。","","","articles/2024-FAcCT-Careless-Whisper-Speech-to-Text-Hallucination-Harms"
"2025-ACL-Findings-Lost-in-Transcription-ASR-Hallucination","2025","ACL Findings","","","Speech","Reward","Lost in Transcription, Found in Distribution Shift: Demystifying Hallucination in Speech Foundation Models","hallucination error rate；distribution shift；WER mismatch","https://aclanthology.org/2025.findings-acl.1190/","","","","","跨 20 多个 ASR 模型证明低 WER 仍可能隐藏危险 hallucination，且 distribution shift 与 HER 高度相关（α=0.91）；噪声、pitch shift、time stretch 都会放大风险。我们若用 ASR/PER 做 reward，必须同时报告 HER、扰动曲线和 model-scale/architecture 分组。","","","articles/2025-ACL-Findings-Lost-in-Transcription-Found-in-Distribution-Shift"
"2026-Interspeech-Whisper-ASR-Hallucination-Detection-Model-Internals","2026","Interspeech","","","Speech","Reward","From Text Metrics to Model Internals: A Study of Whisper ASR Hallucination Detection","Whisper large-v3；decoder-state probing；late fusion","https://arxiv.org/abs/2606.23060","https://github.com/DSP-AGH/asr_hallucination_detection_prompts","","","","在真实语音人工标注数据上比较 text、LLM judge 与 Whisper large-v3 内部状态；reference-free decoder 中层 probe 最强，单层 AUC 约 82%，late fusion 最佳。说明大 LLM 二次判断并非天然最优，ASR 内部 confidence/representation 更适合作为 reward gate。","","","articles/2026-Interspeech-From-Text-Metrics-to-Model-Internals-Whisper-ASR-Hallucination"
"2026-Interspeech-Whisper-Hallucination-SAE-Steering","2026","Interspeech","","","Speech","Reward","Whisper Hallucination Detection and Mitigation via Hidden Representation Steering and Sparse AutoEncoders","SAE steering；hidden representations；model-scale reversal","https://arxiv.org/abs/2606.07473","","","","","直接反驳“ASR 越大就越不幻觉”：其 full non-speech stress set 上未干预 hallucination rate 为 Whisper small 72.63%、large-v3 86.88%；SAE steering 后分别降至 14.11% 与 27.33%。模型规模不能代替 acoustic-grounding stress test 与 abstention。","","","articles/2026-Interspeech-Whisper-Hallucination-Detection-Mitigation-SAE"
"2026-PMLR-Detecting-Whisper-Hallucinations-Local-Confidence-Contrasts","2026","Swiss AI Days","","","Speech","Reward","Detecting Whisper Hallucinations with Local Confidence Contrasts","Local Confidence Drop；acoustic confidence；selective detection","https://proceedings.mlr.press/v309/corpataux26a.html","","","","","用 acoustic confidence 加相邻 token 的 Local Confidence Drop 构造轻量可解释 detector，在 FLEURS 上达到 0.64 AP 并显著优于 baseline。与 BeatReward v6 的 confidence-gated 思路高度同构：低 confidence 时拒绝把 ASR/PER 结果送入 pair construction 或 RL。","","","articles/2026-PMLR-Detecting-Whisper-Hallucinations-with-Local-Confidence-Contrasts"
